id_bat,final_community
BAT_10576,0_371
BAT_10577,0_372
BAT_10578,0_373
BAT_10584,0_374
BAT_10585,0_374
BAT_10587,0_375
BAT_10588,0_376
BAT_10589,0_376
BAT_10590,0_377
BAT_10591,0_377
BAT_10592,0_377
BAT_10593,0_377
BAT_10594,0_377
BAT_10595,0_377
BAT_10596,0_377
BAT_10597,0_377
BAT_10598,0_377
BAT_10599,0_377
BAT_10601,0_377
BAT_10602,0_377
BAT_10603,0_377
BAT_10604,0_377
BAT_10605,0_377
BAT_10606,0_377
BAT_10607,0_377
BAT_10614,0_377
BAT_10615,0_377
BAT_10616,0_377
BAT_10617,0_377
BAT_10618,0_377
BAT_10619,0_377
BAT_10620,0_377
BAT_10624,0_377
BAT_10625,0_377
BAT_10626,0_61
BAT_10629,0_378
BAT_10630,0_378
BAT_10633,0_379
BAT_10634,0_379
BAT_10635,0_380
BAT_10638,0_381
BAT_10639,0_82
BAT_10640,0_382
BAT_10642,0_383
BAT_10643,0_383
BAT_10644,0_34
BAT_10645,0_34
BAT_10646,0_34
BAT_10647,0_34
BAT_10648,0_34
BAT_10649,0_34
BAT_10650,0_34
BAT_10651,0_34
BAT_10652,0_34
BAT_10654,0_44
BAT_10655,0_44
BAT_10656,0_44
BAT_10657,0_384
BAT_10658,0_384
BAT_10659,0_384
BAT_10660,0_385
BAT_10661,0_384
BAT_10662,0_386
BAT_10663,0_387
BAT_10664,0_387
BAT_10669,0_388
BAT_10670,0_388
BAT_10671,0_388
BAT_10672,0_388
BAT_10674,0_389
BAT_10675,0_390
BAT_10676,0_390
BAT_10677,0_391
BAT_10681,0_392
BAT_10682,0_392
BAT_10684,0_392
BAT_10688,0_392
BAT_10690,0_392
BAT_10691,0_392
BAT_10693,0_392
BAT_10695,0_392
BAT_10696,0_392
BAT_10697,0_392
BAT_10699,0_393
BAT_10700,0_393
BAT_10701,0_393
BAT_10702,0_394
BAT_10703,0_394
BAT_10705,0_394
BAT_10707,0_395
BAT_10711,0_396
BAT_10712,0_396
BAT_10713,0_396
BAT_10717,0_397
BAT_10718,0_68
BAT_10719,0_392
BAT_10720,0_392
BAT_10722,0_398
BAT_10723,0_399
BAT_10726,0_400
BAT_10727,0_400
BAT_10732,0_401
BAT_10734,0_402
BAT_10735,0_402
BAT_10736,0_403
BAT_10738,0_403
BAT_10739,0_404
BAT_10740,0_405
BAT_10744,0_406
BAT_10745,0_407
BAT_10747,0_408
BAT_10748,0_409
BAT_10749,0_62
BAT_10753,0_63
BAT_10754,0_410
BAT_10755,0_411
BAT_10756,0_411
BAT_10759,0_412
BAT_10761,0_409
BAT_10762,0_409
BAT_10763,0_409
BAT_10764,0_409
BAT_10765,0_413
BAT_10767,0_409
BAT_10768,0_409
BAT_10770,0_414
BAT_10771,0_415
BAT_10772,0_415
BAT_10773,0_416
BAT_10778,0_417
BAT_10779,0_417
BAT_10780,0_418
BAT_10781,0_419
BAT_10782,0_419
BAT_10787,0_420
BAT_10788,0_420
BAT_10789,0_420
BAT_10791,0_420
BAT_10792,0_420
BAT_10793,0_420
BAT_10796,0_421
BAT_10797,0_422
BAT_10798,0_423
BAT_10799,0_423
BAT_10800,0_423
BAT_10801,0_423
BAT_10802,0_423
BAT_10803,0_423
BAT_10804,0_423
BAT_10805,0_423
BAT_10806,0_423
BAT_10807,0_423
BAT_10808,0_423
BAT_10809,0_423
BAT_10811,0_422
BAT_10812,0_422
BAT_10813,0_424
BAT_10814,0_425
BAT_10818,0_426
BAT_10819,0_426
BAT_10820,0_426
BAT_10821,0_426
BAT_10822,0_426
BAT_10825,0_427
BAT_10827,0_428
BAT_10828,0_428
BAT_10829,0_428
BAT_10832,0_429
BAT_10833,0_429
BAT_10835,0_429
BAT_10836,0_429
BAT_10838,0_429
BAT_10841,0_69
BAT_10842,0_69
BAT_10843,0_425
BAT_10844,0_425
BAT_10845,0_425
BAT_10846,0_425
BAT_10847,0_425
BAT_10848,0_425
BAT_10849,0_425
BAT_10850,0_425
BAT_10855,0_74
BAT_10858,0_430
BAT_10859,0_431
BAT_10862,0_432
BAT_10863,0_432
BAT_10865,0_28
BAT_10867,0_433
BAT_10868,0_433
BAT_10869,0_434
BAT_10870,0_434
BAT_10871,0_435
BAT_10873,0_436
BAT_10875,0_437
BAT_10877,0_437
BAT_10879,0_438
BAT_10881,0_439
BAT_10882,0_439
BAT_10884,0_440
BAT_10885,0_441
BAT_10886,0_441
BAT_10888,0_442
BAT_10890,0_443
BAT_10893,0_444
BAT_10894,0_445
BAT_10895,0_445
BAT_10896,0_445
BAT_10898,0_446
BAT_10899,0_446
BAT_10900,0_68
BAT_10905,0_447
